2023-06-11 11:55:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true}
2023-06-11 11:55:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true}
2023-06-11 11:55:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true}
2023-06-11 11:55:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:16"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:21"},"success":true}
2023-06-11 11:55:25,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:25","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:25"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:25,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:25","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:25"},"success":true}
2023-06-11 11:55:25,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:25","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:25"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:25,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:25","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:25"},"success":true}
2023-06-11 12:00:03,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 12:00:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:00:03"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 12:00:03,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 12:00:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:00:03"},"success":true}
2023-06-11 12:05:03,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 12:05:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:05:03"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 12:05:03,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 12:05:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:05:03"},"success":true}
2023-06-11 12:10:04,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 12:10:04","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:10:04"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 12:10:04,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 12:10:04","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:10:04"},"success":true}
2023-06-11 12:15:04,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 12:15:04","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:15:04"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 12:15:04,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 12:15:04","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 12:15:04"},"success":true}
2023-06-12 08:48:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true}
2023-06-12 08:48:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true}
2023-06-12 08:48:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true}
2023-06-12 08:48:16,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:16,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:16","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:16"},"success":true}
2023-06-12 08:48:17,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:17,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:17,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:17,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true}
2023-06-12 08:48:17,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true}
2023-06-12 08:48:17,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:17","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:17"},"success":true}
2023-06-12 08:48:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
